Header,seconds,nanoseconds,Orientation.x,Orientation.y,Orientation.z,Orientation.w,Linear.x,Linear.y,Linear.z,Angular.x,Angular.y,Angular.z,Magnetic.x,Magnetic.y,Magnetic.z,Roll,Pitch,Yaw
761,58226,938243226,0.00757256486505695,-0.00905984539323618,0.997905878400123,0.0635958592778999,-0.138,0.157,-9.528,0.000434,-0.000841,-0.002155,-0.00001605,-0.00000601,0.00002083,-0.981,-0.932,172.715
762,58226,963368226,0.0075228582013036,-0.00900492904771104,0.997901249799028,0.0636821286301523,-0.147,0.16,-9.526,0.006811,0.004412,-0.003446,-0.00001614,-0.00000596,0.00002122,-0.975,-0.926,172.705
763,58226,988389226,0.00740762208595675,-0.00888440954728036,0.997899416102288,0.0637412719102859,-0.139,0.124,-9.497,0.008192,0.008375,-0.003911,-0.00001624,-0.00000591,0.00002116,-0.962,-0.912,172.698
764,58227,13509227,0.00726372189751147,-0.00880555995164493,0.997899054290541,0.0637744298616363,-0.106,0.166,-9.497,-0.001221,-0.016442,0.000328,-0.0000161,-0.00000646,0.00002078,-0.954,-0.895,172.694
765,58227,38358227,0.00700872141687608,-0.00882446974966643,0.997899151723642,0.0637988208901539,-0.109,0.139,-9.39,0.004266,0.027105,-0.017266,-0.00001605,-0.00000601,0.00002078,-0.958,-0.866,172.691
766,58227,63399227,0.00727840264946274,-0.00898164629922749,0.997895056855829,0.0638107388088376,-0.181,0.155,-9.622,-0.013595,-0.043474,0.004204,-0.00001614,-0.00000575,0.00002088,-0.974,-0.898,172.69
767,58227,88374227,0.00719652878108823,-0.0090290203185475,0.99789412529289,0.0638279051162445,-0.19,0.152,-9.539,0.000083,0.006714,-0.001862,-0.00001609,-0.00000596,0.00002134,-0.98,-0.889,172.688
768,58227,113296227,0.00720515832549686,-0.00902963904337019,0.997893495893709,0.0638366835391924,-0.121,0.156,-9.525,0.000668,-0.005423,-0.002398,-0.000016,-0.00000581,0.00002078,-0.98,-0.89,172.687
769,58227,138399227,0.00718014746615046,-0.00901055473824446,0.997893870154466,0.0638363477480904,-0.152,0.16,-9.559,-0.000463,0.007274,0.000468,-0.00001604,-0.00000576,0.00002083,-0.978,-0.887,172.687
770,58227,163356227,0.00718869853157295,-0.00901123613231608,0.997892683650862,0.0638538342848022,-0.157,0.121,-9.532,-0.001034,0.001186,0.002173,-0.00001619,-0.00000591,0.00002105,-0.978,-0.888,172.685
771,58227,188234227,0.00720524306066984,-0.00902130805749318,0.997890230808647,0.0638888701577507,-0.166,0.161,-9.55,-0.001073,-0.001206,0.001308,-0.0000162,-0.00000636,0.00002089,-0.979,-0.89,172.681
772,58227,213375227,0.00719534080724612,-0.00903823093881669,0.997889587997243,0.0638976339065607,-0.158,0.182,-9.546,-0.001144,0.002162,0.001175,-0.00001605,-0.00000662,0.00002084,-0.981,-0.889,172.68
